time_num10.csv,x_num10.csv,time_num11.csv,x_num11.csv,time_num3.csv,x_num3.csv,time_num4.csv,x_num4.csv,time_num6.csv,x_num6.csv,time_num7.csv,x_num7.csv,time_num8.csv,x_num8.csv,time_num9.csv,x_num9.csv
4546.6,474,3343.4,413,3182,432,4181.1,656,6313.6,573,3714,619,3611.8,410,3279.2,458
4583,469,3375.5,413,3214.3,439,4213.2,656,6349.4,576,3747.6,619,3643.7,410,3311.6,459
4615.7,465,3412.1,414,3250.1,446,4245.3,657,6381.7,580,3781.4,620,3677.1,410,3343.4,461
4649.5,460,3444.2,415,3282.5,453,4280.3,658,6413.8,584,3813.6,620,3712,411,3380,463
4682.7,456,3476.4,416,3314.4,460,4312.6,659,6449.6,588,3845.8,620,3743.7,411,3414.8,464
4714.7,452,3511.7,416,3350.1,468,4344.8,659,6481.4,591,3882.1,621,3780.8,411,3443.5,466
4746.8,447,3543.8,416,3382.9,474,4380.5,660,6517,596,3913.5,622,3812.4,411,3480,468
4782.5,443,3577.7,417,3415.6,481,4412.9,661,6549.3,601,3958.6,622,3847.1,411,3511.5,469
4814.8,438,3611.3,417,3450.2,489,4445.9,662,6581.4,603,3981.6,622,3876.5,411,3543.5,471
4846.8,434,3643.8,418,3482.8,496,4480.7,663,6614.1,606,4013.6,622,3912.2,412,3579.3,472
4882.5,429,3675.8,418,3514.7,503,4512.7,663,6649.4,610,4045.8,622,3943.8,412,3611.6,474
4914.6,425,3711.3,419,3550.7,510,4546.8,664,6681.4,614,4081.6,623,3976,412,3643.2,476
4946.5,420,3743.8,419,3582,517,4580.6,665,6713.6,618,4113.5,624,4011.5,412,3679.4,477
4982.5,416,3775.8,419,3614.7,524,4612.6,666,6749.6,622,4145.7,624,4045,412,3711.1,479
5014.4,412,3811.4,420,3650.4,531,4644.7,667,6781.9,626,4181.5,624,4075.9,412,3743.7,480
5047,407,3843.5,420,3682.3,539,4680.4,669,6816.9,630,4213.6,624,4111.7,411,3779.4,481
5082.8,403,3875.4,420,3715,545,4712.7,669,6849.3,634,4245.6,625,4144.1,411,3811.6,483
5115,399,3911.1,420,3750.3,553,4747.4,670,6882.8,638,4281.8,625,4175.7,411,3843.8,484
5146.8,394,3944.1,420,3782.1,560,4781.6,671,6913.6,641,4313.5,625,4211.8,411,3879.4,485
5214.5,385,3976.3,420,3814.3,567,4812.6,672,6949.6,646,4345.7,626,4243.7,411,3911.2,487
5247.1,380,4011.5,420,3850.1,574,4844.7,673,6981.6,650,4382.2,626,4277.1,411,3943.3,488
5284.9,376,4043.6,420,3882.3,582,4880.5,674,7013.7,654,4413.5,626,4311.9,410,3979.2,489
5314.6,371,4075.6,420,3914.6,589,4913.9,675,7049.6,658,4445.6,627,4343.9,410,4011.1,490
5346.5,367,4111.4,419,3950.3,596,4946.3,677,7081.4,663,4481.5,627,4376.1,410,4044.5,491
5414.1,357,4143.5,419,3984.6,604,4980.5,678,7113.5,667,4513.5,627,4411.6,410,4080.1,493
5447.1,352,4175.5,419,4014.4,611,5012.7,679,7149.8,672,4545.5,628,4443.7,409,4112.1,494
5482.4,348,4211.1,419,4050.1,619,5044.8,680,7181.5,676,4581.7,628,4475.7,409,4143.7,495
5515.1,343,4243.8,418,4082.2,627,5081.4,681,7213.5,680,4615.5,629,4511.8,409,4179.1,496
5546.9,338,4283.7,418,4114.4,634,5113,683,7249.2,684,4645.4,630,4544.7,409,4211.4,497
5582.4,333,4311.4,417,4150,641,5147.2,684,7282.7,689,4681.8,630,4577.1,408,4243.3,498
5614.8,328,4345.5,417,4183.1,649,5180.4,685,7313.9,693,4713.8,631,4612.1,408,4278.9,500
5646.9,323,4375.8,417,4214.8,657,5212.3,687,7349.6,699,4745.5,632,4644,407,4311,501
5683.1,318,4411.4,416,4250,664,5245,688,7381.8,703,4781.5,633,4676.1,407,4343.5,502
5718.8,313,4443.7,416,4282.2,672,5280.5,690,7418.3,709,4828.4,633,4711.8,407,4379.2,503
5746.7,307,4475.6,416,4315.2,680,5312.5,691,7454,713,4846.8,635,4744.3,406,4411,504
5782.3,302,4511.3,415,4350.5,687,5345.2,693,7489.2,717,4881.6,635,4777.1,406,4443.4,505
5815,296,4543.9,415,4382.3,694,5380.4,695,7513.4,723,4913.4,636,4811.7,405,4479.5,506
5846.8,291,4575.9,415,,,5412.6,696,7549.3,728,4947.7,637,4843.7,404,4512.1,507
5882.3,286,4611.4,414,,,5447.4,699,7582.7,733,4981.6,639,4875.7,403,4543.8,509
5914.7,280,,,,,5480.6,701,7618.7,738,5014.4,640,4911.5,403,4579.5,510
5946.6,274,,,,,5512.8,703,7649.4,743,5045.9,641,4943.7,402,4611.2,511
5982.8,268,,,,,5545.8,705,7682.1,747,5081.9,643,4977.1,401,4644.2,512
6014.8,263,,,,,5580.5,708,,,5113.7,643,5011.8,400,4680,513
6046.7,256,,,,,5613.1,710,,,5145.5,645,5044.7,399,,
6082.8,251,,,,,5647.2,712,,,5181.4,646,5077.1,398,,
6114.8,245,,,,,5680.4,714,,,5213.4,648,5112.1,397,,
,,,,,,5720.1,717,,,5245.7,649,5144.6,396,,
,,,,,,5744.7,720,,,5281.7,649,5178.2,396,,
,,,,,,5781.2,722,,,,,5212.8,395,,
,,,,,,,,,,,,5245.1,394,,
