time_num10.csv,y_num10.csv,x_num10.csv,time_num11.csv,y_num11.csv,x_num11.csv,time_num3.csv,y_num3.csv,x_num3.csv,time_num4.csv,y_num4.csv,x_num4.csv,time_num6.csv,y_num6.csv,x_num6.csv,time_num7.csv,y_num7.csv,x_num7.csv,time_num8.csv,y_num8.csv,x_num8.csv,time_num9.csv,y_num9.csv,x_num9.csv
4546.6,200.0,474.0,4443.7,823.0,416.0,,,,,,,7381.8,720.0,703.0,4513.5,379.0,627.0,,,,,,
4583.0,200.0,469.0,4475.6,849.0,416.0,,,,,,,7418.3,744.0,709.0,4545.5,396.0,628.0,,,,,,
4615.7,202.0,465.0,4511.3,875.0,415.0,,,,,,,7454.0,769.0,713.0,4581.7,413.0,628.0,,,,,,
4649.5,204.0,460.0,4543.9,903.0,415.0,,,,,,,7489.2,794.0,717.0,4615.5,431.0,629.0,,,,,,
4682.7,206.0,456.0,4575.9,932.0,415.0,,,,,,,7513.4,821.0,723.0,4645.4,451.0,630.0,,,,,,
4714.7,209.0,452.0,4611.4,960.0,414.0,,,,,,,7549.3,849.0,728.0,4681.8,471.0,630.0,,,,,,
4746.8,212.0,447.0,,,,,,,,,,7582.7,877.0,733.0,4713.8,491.0,631.0,,,,,,
4782.5,216.0,443.0,,,,,,,,,,7618.7,907.0,738.0,4745.5,512.0,632.0,,,,,,
4814.8,221.0,438.0,,,,,,,,,,7649.4,938.0,743.0,4781.5,534.0,633.0,,,,,,
4846.8,227.0,434.0,,,,,,,,,,7682.1,946.0,747.0,4828.4,556.0,633.0,,,,,,
4882.5,234.0,429.0,,,,,,,,,,,,,4846.8,580.0,635.0,,,,,,
4914.6,241.0,425.0,,,,,,,,,,,,,4881.6,604.0,635.0,,,,,,
4946.5,248.0,420.0,,,,,,,,,,,,,4913.4,629.0,636.0,,,,,,
4982.5,256.0,416.0,,,,,,,,,,,,,4947.7,655.0,637.0,,,,,,
5014.4,265.0,412.0,,,,,,,,,,,,,4981.6,682.0,639.0,,,,,,
5047.0,274.0,407.0,,,,,,,,,,,,,5014.4,710.0,640.0,,,,,,
5082.8,285.0,403.0,,,,,,,,,,,,,5045.9,739.0,641.0,,,,,,
5115.0,296.0,399.0,,,,,,,,,,,,,5081.9,768.0,643.0,,,,,,
5146.8,308.0,394.0,,,,,,,,,,,,,5113.7,799.0,643.0,,,,,,
5214.5,333.0,385.0,,,,,,,,,,,,,5145.5,830.0,645.0,,,,,,
5247.1,346.0,380.0,,,,,,,,,,,,,5181.4,863.0,646.0,,,,,,
5284.9,361.0,376.0,,,,,,,,,,,,,5213.4,897.0,648.0,,,,,,
5314.6,376.0,371.0,,,,,,,,,,,,,5245.7,931.0,649.0,,,,,,
5346.5,392.0,367.0,,,,,,,,,,,,,5281.7,950.0,649.0,,,,,,
5414.1,426.0,357.0,,,,,,,,,,,,,,,,,,,,,
5447.1,445.0,352.0,,,,,,,,,,,,,,,,,,,,,
5482.4,463.0,348.0,,,,,,,,,,,,,,,,,,,,,
5515.1,483.0,343.0,,,,,,,,,,,,,,,,,,,,,
5546.9,503.0,338.0,,,,,,,,,,,,,,,,,,,,,
5582.4,524.0,333.0,,,,,,,,,,,,,,,,,,,,,
5614.8,546.0,328.0,,,,,,,,,,,,,,,,,,,,,
5646.9,569.0,323.0,,,,,,,,,,,,,,,,,,,,,
5683.1,593.0,318.0,,,,,,,,,,,,,,,,,,,,,
5718.8,617.0,313.0,,,,,,,,,,,,,,,,,,,,,
5746.7,642.0,307.0,,,,,,,,,,,,,,,,,,,,,
5782.3,668.0,302.0,,,,,,,,,,,,,,,,,,,,,
5815.0,695.0,296.0,,,,,,,,,,,,,,,,,,,,,
5846.8,723.0,291.0,,,,,,,,,,,,,,,,,,,,,
5882.3,751.0,286.0,,,,,,,,,,,,,,,,,,,,,
5914.7,781.0,280.0,,,,,,,,,,,,,,,,,,,,,
5946.6,812.0,274.0,,,,,,,,,,,,,,,,,,,,,
5982.8,843.0,268.0,,,,,,,,,,,,,,,,,,,,,
6014.8,875.0,263.0,,,,,,,,,,,,,,,,,,,,,
6046.7,908.0,256.0,,,,,,,,,,,,,,,,,,,,,
6082.8,942.0,251.0,,,,,,,,,,,,,,,,,,,,,
6114.8,962.0,245.0,,,,,,,,,,,,,,,,,,,,,
